Z	A	Level	YI	YI uncert
58	143	0	0.000313348	3.44683E-05
42	108	0	0.00030204	0.00019331
41	99	0	0.00029965	0.000032961
49	129	0	0.000275381	0.000123921
33	82	1	0.000271051	0.000173473
35	92	0	0.000267711	0.000171335
43	106	0	0.000267671	0.000171309
54	143	1	0.00026472	0.00016942
54	143	0	0.000264718	0.00016942
36	85	0	0.000255332	4.08531E-05
49	129	1	0.00025341	0.00016218
54	134	1	0.000246123	0.000157518
43	108	0	0.00023766	0.0001521
43	107	0	0.000224314	0.000143561
37	88	0	0.000223014	1.78411E-05
56	148	0	0.000221844	0.00014198
58	152	0	0.000205365	0.000131434
33	86	0	0.000199226	0.000127505
35	83	0	0.00019538	0.00003126
40	94	0	0.000194946	0.000124766
32	84	0	0.000189947	4.36877E-05
35	84	0	0.000185797	2.04377E-05
57	141	0	0.000184907	2.95851E-05
50	134	0	0.000176927	0.000113234
60	155	0	0.000175378	0.000112242
38	89	0	0.000175198	0.000112126
31	79	0	0.000171078	1.88186E-05
52	140	0	0.000169117	0.000108235
35	84	1	0.000167248	1.33799E-05
41	106	0	0.000157369	0.000100716
42	109	0	0.000155269	9.93722E-05
48	131	0	0.000137779	8.81783E-05
33	80	0	0.00013695	8.76482E-05
43	109	0	0.00013444	8.60419E-05
49	128	0	0.000131471	8.41413E-05
49	128	1	0.00013147	0.000084141
34	90	0	0.00012699	0.000081273
61	155	0	0.000126091	8.06983E-05
48	124	0	0.00012142	0.00005464
48	122	0	0.000119302	0.000076353
40	92	0	0.00011898	0.000076148
44	111	0	0.000118252	7.56811E-05
31	80	0	0.000117062	1.87299E-05
43	110	0	0.000116392	7.44907E-05
32	79	1	0.000116247	7.43979E-05
32	79	0	0.000116247	7.43979E-05
51	136	0	0.00011489	0.000073531
31	84	0	0.00011067	0.00007083
41	97	0	0.000107552	1.72084E-05
50	124	0	0.00010691	0.000068424
51	128	0	0.00010667	0.00006827
54	134	0	0.000105483	6.75088E-05
50	125	1	0.000104573	1.67316E-05
57	150	0	0.00010422	0.000066703
31	78	0	0.00010281	0.0000658
48	123	0	0.000101013	6.46482E-05
44	112	0	0.000099213	0.000063496
44	110	0	0.000098853	6.32659E-05
43	102	0	9.55432E-05	6.11477E-05
43	102	1	0.000095543	0.000061148
53	132	0	0.000091309	0.000058438
53	132	1	9.13085E-05	5.84375E-05
61	153	0	8.80038E-05	5.63224E-05
46	117	0	0.000087714	0.000056137
50	125	0	0.000085424	6.83392E-06
48	120	0	8.38841E-05	5.36858E-05
31	81	0	0.000081774	0.000026168
48	127	0	0.000081544	0.000052188
38	100	0	8.15242E-05	5.21755E-05
48	126	0	8.07843E-05	5.17019E-05
50	127	1	7.91744E-05	5.06716E-05
55	146	0	0.000076405	8.4045E-06
47	119	0	7.25349E-05	2.32112E-05
36	95	0	7.18697E-05	4.59966E-05
46	115	0	0.000071285	4.56224E-05
51	127	0	0.000070895	1.63058E-05
61	156	0	0.000070635	4.52064E-05
32	78	0	0.000069415	0.000044426
34	81	1	6.92651E-05	0.000015931
45	113	0	6.84252E-05	4.37921E-05
46	116	0	6.81552E-05	4.36193E-05
60	149	0	6.80752E-05	4.35681E-05
52	139	0	6.66353E-05	4.26466E-05
51	128	1	6.36555E-05	4.07395E-05
