Neutron energy =  2.5300E-02

PRODUCT      ZAFP     FPS           Y          DY
38-Sr- 84    38084.      0.  2.2300E-12  1.4272E-12
38-Sr- 85-M  38085.      1.  5.6499E-11  3.6160E-11
38-Sr- 85    38085.      0.  5.6499E-11  3.6160E-11
38-Sr- 86    38086.      0.  1.0100E-08  6.4639E-09
38-Sr- 87    38087.      0.  2.4600E-07  1.5744E-07
38-Sr- 87-M  38087.      1.  5.7699E-08  3.6927E-08
38-Sr- 88    38088.      0.  6.7899E-06  4.3456E-06
38-Sr- 89    38089.      0.  1.5104E-04  9.6664E-05
38-Sr- 90    38090.      0.  9.6900E-04  4.3605E-04
38-Sr- 91    38091.      0.  3.8609E-03  6.1774E-04
38-Sr- 92    38092.      0.  1.0244E-02  6.1462E-04
38-Sr- 93    38093.      0.  2.1441E-02  1.2865E-03
38-Sr- 94    38094.      0.  2.9249E-02  1.7550E-03
38-Sr- 95    38095.      0.  2.6120E-02  1.1754E-02
38-Sr- 96    38096.      0.  1.8220E-02  8.1988E-03
38-Sr- 97    38097.      0.  7.8671E-03  5.0349E-03
38-Sr- 98    38098.      0.  3.2731E-03  2.0948E-03
38-Sr- 99    38099.      0.  3.7470E-04  2.3981E-04
38-Sr-100    38100.      0.  6.7599E-05  4.3263E-05
38-Sr-101    38101.      0.  2.8898E-06  1.8495E-06
38-Sr-102    38102.      0.  8.0296E-08  5.1389E-08
38-Sr-103    38103.      0.  1.4653E-08  9.3779E-09
38-Sr-104    38104.      0.  9.4399E-11  6.0415E-11
38-Sr-105    38105.      0.  4.4615E-12  2.8554E-12
39-Y - 85    39085.      0.  0.0000E+00  0.0000E+00
39-Y - 87    39087.      0.  2.8800E-11  1.8432E-11
39-Y - 88    39088.      0.  1.7900E-09  1.1456E-09
39-Y - 89    39089.      0.  1.6300E-08  1.0432E-08
39-Y - 89-M  39089.      1.  6.9499E-08  4.4479E-08
39-Y - 90-M  39090.      1.  9.6499E-07  6.1759E-07
39-Y - 90    39090.      0.  9.6499E-07  6.1759E-07
39-Y - 91-M  39091.      1.  1.2400E-05  7.9359E-06
39-Y - 91    39091.      0.  1.2400E-05  7.9359E-06
39-Y - 92    39092.      0.  4.5078E-04  2.8850E-04
39-Y - 93-M  39093.      1.  8.7027E-04  5.5697E-04
39-Y - 93    39093.      0.  8.7027E-04  5.5697E-04
39-Y - 94    39094.      0.  6.7508E-03  1.0801E-03
39-Y - 95    39095.      0.  1.6778E-02  7.5500E-03
39-Y - 96    39096.      0.  2.4863E-03  1.5912E-03
39-Y - 96-M  39096.      1.  2.2377E-02  1.0069E-02
39-Y - 97-M  39097.      1.  1.4780E-02  9.4593E-03
39-Y - 97    39097.      0.  1.4780E-02  9.4593E-03
39-Y - 98    39098.      0.  1.1873E-02  3.7992E-03
39-Y - 98-M  39098.      1.  1.1873E-02  3.7992E-03
39-Y - 99    39099.      0.  1.4441E-02  1.5886E-03
39-Y -100    39100.      0.  3.4474E-03  2.2063E-03
39-Y -101    39101.      0.  8.4021E-04  5.3773E-04
39-Y -102    39102.      0.  6.1199E-05  3.9167E-05
39-Y -103    39103.      0.  1.0105E-05  6.4673E-06
