Neutron energy =  2.5300E-02

PRODUCT      ZAFP     FPS           Y          DY
34-Se- 73-M  34073.      1.  0.0000E+00  0.0000E+00
34-Se- 74    34074.      0.  0.0000E+00  0.0000E+00
34-Se- 75    34075.      0.  4.9599E-13  3.1743E-13
34-Se- 76    34076.      0.  4.2799E-11  2.7391E-11
34-Se- 77    34077.      0.  2.7499E-10  1.7600E-10
34-Se- 77-M  34077.      1.  1.8399E-09  1.1776E-09
34-Se- 78    34078.      0.  9.6398E-08  6.1695E-08
34-Se- 79    34079.      0.  2.6199E-06  1.6768E-06
34-Se- 79-M  34079.      1.  3.9199E-07  2.5087E-07
34-Se- 80    34080.      0.  3.3439E-05  1.0700E-05
34-Se- 81    34081.      0.  3.1999E-05  3.5199E-06
34-Se- 81-M  34081.      1.  2.1399E-04  2.3539E-05
34-Se- 82    34082.      0.  1.8514E-03  1.1108E-04
34-Se- 83    34083.      0.  4.0127E-03  2.4076E-04
34-Se- 83-M  34083.      1.  9.3939E-04  3.7576E-05
34-Se- 84    34084.      0.  1.2385E-02  5.5730E-03
34-Se- 85    34085.      0.  5.8812E-03  3.7640E-03
34-Se- 85-M  34085.      1.  5.8812E-03  3.7640E-03
34-Se- 86    34086.      0.  8.0084E-03  5.1254E-03
34-Se- 87    34087.      0.  3.2844E-03  2.1020E-03
34-Se- 88    34088.      0.  1.0917E-03  6.9868E-04
34-Se- 89    34089.      0.  1.7143E-04  1.0971E-04
34-Se- 90    34090.      0.  5.7541E-05  3.6826E-05
34-Se- 91    34091.      0.  0.0000E+00  0.0000E+00
34-Se- 92    34092.      0.  8.6396E-08  5.5293E-08
34-Se- 93    34093.      0.  1.1973E-07  7.6625E-08
34-Se- 94    34094.      0.  2.1599E-11  1.3824E-11
34-Se- 95    34095.      0.  1.3258E-13  8.4853E-14
34-Se- 96    34096.      0.  0.0000E+00  0.0000E+00
35-Br- 75    35075.      0.  0.0000E+00  0.0000E+00
35-Br- 77    35077.      0.  1.8299E-14  1.1712E-14
35-Br- 77-M  35077.      1.  6.1299E-14  3.9231E-14
35-Br- 78    35078.      0.  9.0298E-12  5.7790E-12
35-Br- 79    35079.      0.  3.0699E-10  1.9648E-10
35-Br- 79-M  35079.      1.  1.0300E-09  6.5918E-10
35-Br- 80    35080.      0.  2.4499E-08  1.5680E-08
35-Br- 80-M  35080.      1.  7.3398E-08  4.6975E-08
