Neutron energy =  5.0000E+05

PRODUCT      ZAFP     FPS           Y          DY
40-Zr- 97    40097.      0.  4.5045E-03  2.8829E-03
40-Zr- 98    40098.      0.  1.6950E-02  5.4239E-03
40-Zr- 99    40099.      0.  2.9816E-02  9.5412E-03
40-Zr-100    40100.      0.  4.2526E-02  1.3608E-02
40-Zr-101    40101.      0.  3.5650E-02  1.1408E-02
40-Zr-102    40102.      0.  2.7415E-02  8.7729E-03
40-Zr-103    40103.      0.  9.5015E-03  6.0810E-03
40-Zr-104    40104.      0.  2.5355E-03  1.6227E-03
40-Zr-105    40105.      0.  8.1104E-06  5.1907E-06
40-Zr-106    40106.      0.  2.6501E-07  1.6961E-07
40-Zr-107    40107.      0.  1.7304E-08  1.1075E-08
40-Zr-108    40108.      0.  1.4801E-10  9.4725E-11
40-Zr-109    40109.      0.  4.9733E-14  3.1829E-14
40-Zr-110    40110.      0.  1.8800E-09  1.2032E-09
40-Zr-111    40111.      0.  4.3632E-13  2.7924E-13
40-Zr-112    40112.      0.  3.3178E-14  2.1234E-14
41-Nb- 89    41089.      0.  0.0000E+00  0.0000E+00
41-Nb- 90    41090.      0.  0.0000E+00  0.0000E+00
41-Nb- 91    41091.      0.  0.0000E+00  0.0000E+00
41-Nb- 92    41092.      0.  1.1501E-13  7.3604E-14
41-Nb- 93    41093.      0.  1.1901E-11  7.6164E-12
41-Nb- 93-M  41093.      1.  2.4401E-12  1.5617E-12
41-Nb- 94    41094.      0.  5.7803E-10  3.6994E-10
41-Nb- 94-M  41094.      1.  3.3902E-10  2.1697E-10
41-Nb- 95    41095.      0.  4.2302E-08  2.7073E-08
41-Nb- 95-M  41095.      1.  8.6604E-09  5.5427E-09
41-Nb- 96    41096.      0.  1.0600E-06  6.7843E-07
41-Nb- 97    41097.      0.  1.5411E-05  9.8629E-06
41-Nb- 97-M  41097.      1.  3.1602E-06  2.0225E-06
41-Nb- 98    41098.      0.  1.5212E-04  9.7355E-05
41-Nb- 98-M  41098.      1.  4.2902E-05  2.7457E-05
41-Nb- 99    41099.      0.  1.0145E-04  6.4931E-05
41-Nb- 99-M  41099.      1.  1.1666E-03  7.4664E-04
41-Nb-100    41100.      0.  2.1433E-03  1.3717E-03
41-Nb-100-M  41100.      1.  2.1433E-03  1.3717E-03
41-Nb-101    41101.      0.  1.2093E-02  3.8697E-03
41-Nb-102-M  41102.      1.  1.0185E-02  6.5186E-03
41-Nb-102    41102.      0.  1.0185E-02  6.5186E-03
41-Nb-103    41103.      0.  2.3270E-02  7.4464E-03
41-Nb-104-M  41104.      1.  7.1718E-03  4.5899E-03
41-Nb-104    41104.      0.  7.1718E-03  4.5899E-03
41-Nb-105    41105.      0.  5.4461E-03  3.4855E-03
41-Nb-106    41106.      0.  7.1721E-04  4.5901E-04
41-Nb-107    41107.      0.  1.4545E-04  9.3088E-05
41-Nb-108    41108.      0.  1.4341E-05  9.1781E-06
41-Nb-109    41109.      0.  9.9605E-07  6.3747E-07
41-Nb-110    41110.      0.  1.7901E-06  1.1457E-06
41-Nb-111    41111.      0.  1.4578E-08  9.3300E-09
41-Nb-112    41112.      0.  1.1085E-09  7.0946E-10
41-Nb-113    41113.      0.  2.4611E-13  1.5751E-13
41-Nb-114    41114.      0.  4.7290E-14  3.0266E-14
41-Nb-115    41115.      0.  8.3819E-15  5.3644E-15
42-Mo- 90    42090.      0.  0.0000E+00  0.0000E+00
42-Mo- 91    42091.      0.  0.0000E+00  0.0000E+00
42-Mo- 92    42092.      0.  0.0000E+00  0.0000E+00
42-Mo- 93-M  42093.      1.  0.0000E+00  0.0000E+00
42-Mo- 93    42093.      0.  0.0000E+00  0.0000E+00
42-Mo- 94    42094.      0.  0.0000E+00  0.0000E+00
42-Mo- 95    42095.      0.  1.5901E-12  1.0177E-12
42-Mo- 96    42096.      0.  1.4101E-10  9.0244E-11
42-Mo- 97    42097.      0.  7.1104E-09  4.5506E-09
42-Mo- 98    42098.      0.  3.1102E-07  1.9905E-07
42-Mo- 99    42099.      0.  5.4203E-06  3.4690E-06
42-Mo-100    42100.      0.  7.4934E-05  4.7958E-05
42-Mo-101    42101.      0.  5.2636E-04  3.3687E-04
42-Mo-102    42102.      0.  3.3226E-03  2.1265E-03
